path,pic_width,pic_height,top,left,width,height,zero,one,many
Data/CLS-LOC/test/ILSVRC2012_test_00000433.JPEG_RESAMPLED_34916508e9a348b0.png,250,250,0.0,0,0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00001409.JPEG_RESAMPLED_d6391b5054612947.png,350,350,120.9,129,92,109.2,0,1,0
Data/CLS-LOC/test/ILSVRC2012_test_00001451.JPEG_RESAMPLED_6006eb5afbd49410.png,250,250,0.0,0,0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00004899.JPEG_RESAMPLED_596200ddcf18766.png,250,250,0.0,0,0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00008755.JPEG_RESAMPLED_259efb8a58c7cca6.png,350,350,119.5,128,98,114.0,0,1,0
Data/CLS-LOC/test/ILSVRC2012_test_00011600.JPEG_RESAMPLED_8d69d8e2bad820a3.png,350,350,0.0,0,0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00012066.JPEG_RESAMPLED_162a75b29f19470e.png,250,250,0.0,0,0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00014320.JPEG_RESAMPLED_5621b73d72445a57.png,350,350,0.0,0,0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00015215.JPEG_RESAMPLED_512bb918778d7c32.png,350,350,117.2,127,97,117.6,0,1,0
Data/CLS-LOC/test/ILSVRC2012_test_00015528.JPEG_RESAMPLED_f72862065bb85b24.png,250,250,0.0,0,0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00017428.JPEG_RESAMPLED_4a63b1f92a386d8e.png,250,250,0.0,0,0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00018704.JPEG_RESAMPLED_b653c9b36b574b8c.png,250,250,0.0,0,0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00020258.JPEG_RESAMPLED_6cc692970de47d9c.png,250,250,0.0,0,0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00021295.JPEG_RESAMPLED_e2b60e8013c81107.png,350,350,0.0,0,0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00023513.JPEG_RESAMPLED_c4acfd6fc41aaf40.png,250,250,0.0,0,0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00023667.JPEG_RESAMPLED_c7964853d6b1203a.png,350,350,0.0,0,0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00031470.JPEG_RESAMPLED_f1ef68128799f4d5.png,250,250,0.0,0,0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00033070.JPEG_RESAMPLED_ea296b3ec0bd06d4.png,350,350,114.8,125,101,122.39999999999999,0,1,0
Data/CLS-LOC/test/ILSVRC2012_test_00036410.JPEG_RESAMPLED_ca6437c2d809326c.png,250,250,0.0,0,0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00040297.JPEG_RESAMPLED_f34e84a9ce056851.png,250,250,0.0,0,0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00045390.JPEG_RESAMPLED_69d602e1d3d39a4f.png,250,250,0.0,0,0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00045390.JPEG_RESAMPLED_910b7e7c5091e92b.png,250,250,0.0,0,0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00045390.JPEG_RESAMPLED_cd75e78281b50e1f.png,250,250,0.0,0,0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00045636.JPEG_RESAMPLED_e7136841c146e3a8.png,350,350,123.4,132,86,103.2,0,1,0
Data/CLS-LOC/test/ILSVRC2012_test_00045844.JPEG_RESAMPLED_2501b56cec5a426d.png,350,350,113.5,122,107,126.0,0,1,0
Data/CLS-LOC/test/ILSVRC2012_test_00045844.JPEG_RESAMPLED_68132c0828b1f027.png,350,350,119.9,132,89,109.2,0,1,0
Data/CLS-LOC/test/ILSVRC2012_test_00045844.JPEG_RESAMPLED_6ffbd0acca0dfcfa.png,350,350,0.0,0,0,0.0,0,0,1
Data/CLS-LOC/test/ILSVRC2012_test_00045844.JPEG_RESAMPLED_7e8c0b6972dfe43.png,350,350,0.0,0,0,0.0,0,0,1
