path,top,left,width,height,zero,one,many
0--Parade/0_Parade_marchingband_1_465.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_628.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_765.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_194.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_379.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_814.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_470.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_1045.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_556.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_829.jpg,501.0,160.0,285.0,443.0,0,1,0
0--Parade/0_Parade_marchingband_1_593.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_29.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_72.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_205.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_881.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_490.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_125.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_120.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_476.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_620.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_960.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_488.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_901.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_822.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_353.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_74.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_234.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_359.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_266.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_275.jpg,0.0,0.0,0.0,0.0,0,1,0
0--Parade/0_Parade_Parade_0_478.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_913.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_172.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_309.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_360.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_472.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_517.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_188.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_917.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_353.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_20.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_818.jpg,643.0,336.0,324.0,553.0,0,1,0
0--Parade/0_Parade_Parade_0_854.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_355.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_869.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_611.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_443.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_102.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_218.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_639.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_78.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_247.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_404.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_606.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_664.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_382.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_616.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_149.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_873.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_156.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_545.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_850.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_445.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_710.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_137.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_410.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_Parade_0_906.jpg,0.0,0.0,0.0,0.0,0,0,1
0--Parade/0_Parade_marchingband_1_1004.jpg,0.0,0.0,0.0,0.0,0,0,1
