path,pic_width,pic_height,top,left,width,height,zero,one,many
Data/CLS-LOC/test/ILSVRC2012_test_00000433.JPEG_RESAMPLED_34916508e9a348b0.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00001409.JPEG_RESAMPLED_d6391b5054612947.png,350,350,120.9,129.0,92.0,109.2,0,1,0
Data/CLS-LOC/test/ILSVRC2012_test_00001451.JPEG_RESAMPLED_6006eb5afbd49410.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00004899.JPEG_RESAMPLED_596200ddcf18766.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00008755.JPEG_RESAMPLED_259efb8a58c7cca6.png,350,350,119.5,128.0,98.0,114.0,0,1,0
Data/CLS-LOC/test/ILSVRC2012_test_00011600.JPEG_RESAMPLED_8d69d8e2bad820a3.png,350,350,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00012066.JPEG_RESAMPLED_162a75b29f19470e.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00014320.JPEG_RESAMPLED_5621b73d72445a57.png,350,350,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00015215.JPEG_RESAMPLED_512bb918778d7c32.png,350,350,117.2,127.0,97.0,117.6,0,1,0
Data/CLS-LOC/test/ILSVRC2012_test_00015528.JPEG_RESAMPLED_f72862065bb85b24.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00017428.JPEG_RESAMPLED_4a63b1f92a386d8e.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00018704.JPEG_RESAMPLED_b653c9b36b574b8c.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00020258.JPEG_RESAMPLED_6cc692970de47d9c.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00021295.JPEG_RESAMPLED_e2b60e8013c81107.png,350,350,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00023513.JPEG_RESAMPLED_c4acfd6fc41aaf40.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00023667.JPEG_RESAMPLED_c7964853d6b1203a.png,350,350,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00031470.JPEG_RESAMPLED_f1ef68128799f4d5.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00033070.JPEG_RESAMPLED_ea296b3ec0bd06d4.png,350,350,114.8,125.0,101.0,122.39999999999999,0,1,0
Data/CLS-LOC/test/ILSVRC2012_test_00036410.JPEG_RESAMPLED_ca6437c2d809326c.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00040297.JPEG_RESAMPLED_f34e84a9ce056851.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00045390.JPEG_RESAMPLED_69d602e1d3d39a4f.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00045390.JPEG_RESAMPLED_910b7e7c5091e92b.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00045390.JPEG_RESAMPLED_cd75e78281b50e1f.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00045636.JPEG_RESAMPLED_e7136841c146e3a8.png,350,350,123.4,132.0,86.0,103.2,0,1,0
Data/CLS-LOC/test/ILSVRC2012_test_00045844.JPEG_RESAMPLED_2501b56cec5a426d.png,350,350,113.5,122.0,107.0,126.0,0,1,0
Data/CLS-LOC/test/ILSVRC2012_test_00045844.JPEG_RESAMPLED_68132c0828b1f027.png,350,350,119.9,132.0,89.0,109.2,0,1,0
Data/CLS-LOC/test/ILSVRC2012_test_00045844.JPEG_RESAMPLED_6ffbd0acca0dfcfa.png,350,350,0.0,0.0,0.0,0.0,0,0,1
Data/CLS-LOC/test/ILSVRC2012_test_00045844.JPEG_RESAMPLED_7e8c0b6972dfe43.png,350,350,0.0,0.0,0.0,0.0,0,0,1
Data/CLS-LOC/test/ILSVRC2012_test_00045844.JPEG_RESAMPLED_d3a17c0af0aed97e.png,350,350,0.0,0.0,0.0,0.0,0,0,1
Data/CLS-LOC/test/ILSVRC2012_test_00045844.JPEG_RESAMPLED_fc924a80820eb0ce.png,350,350,0.0,0.0,0.0,0.0,0,0,1
Data/CLS-LOC/test/ILSVRC2012_test_00046691.JPEG_RESAMPLED_ff88e4b8dcd4d91e.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00046929.JPEG_RESAMPLED_8c5536396535f267.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00047782.JPEG_RESAMPLED_2e180cfe7d579c2e.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00047782.JPEG_RESAMPLED_4665cdfb4fd7e32e.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00048364.JPEG_RESAMPLED_fa3c6b1d73ba1a1b.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00052388.JPEG_RESAMPLED_a6b1ebe036fa7aa8.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00052448.JPEG_RESAMPLED_63d3c0d2638192e.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00055890.JPEG_RESAMPLED_8f0de8cc549dfe99.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00056281.JPEG_RESAMPLED_38e44065e3f7a30e.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00060747.JPEG_RESAMPLED_552ae2dedb66d9e9.png,350,350,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00065261.JPEG_RESAMPLED_dd7e3ba9cb775a37.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00067216.JPEG_RESAMPLED_b353095fa95dbe05.png,350,350,118.6,128.0,94.0,112.8,0,1,0
Data/CLS-LOC/test/ILSVRC2012_test_00068551.JPEG_RESAMPLED_b60c8c7eaa515ed.png,350,350,112.5,123.0,105.0,126.0,0,1,0
Data/CLS-LOC/test/ILSVRC2012_test_00068964.JPEG_RESAMPLED_52c80030b4cb6e78.png,350,350,117.1,125.0,101.0,118.8,0,1,0
Data/CLS-LOC/test/ILSVRC2012_test_00071241.JPEG_RESAMPLED_c150ee98678f2a19.png,250,250,0.0,0.0,0.0,0.0,1,0,0
Data/CLS-LOC/test/ILSVRC2012_test_00071698.JPEG_RESAMPLED_bfe38ec3d446d324.png,350,350,113.8,126.0,100.0,122.39999999999999,0,1,0
